,d,d_hole,hef,ad,fc_ad,fc,bar,fu,Nu,FM
d,1.0,0.9944889440309016,0.9267114440495416,0.2931217767664703,-0.4670188880934655,-0.1862307042835959,-0.2975557534163961,-0.12851979083259044,0.9521473930664068,0.10720818435707163
d_hole,0.9944889440309016,1.0,0.9283984252797126,0.29327562565105425,-0.43436575741119215,-0.216719589174719,-0.331784290697563,-0.17956145017356076,0.9592328659525384,0.09731530717949322
hef,0.9267114440495416,0.9283984252797126,1.0,0.3137499669866653,-0.3199769558274382,-0.2604604944083695,-0.2879594787998892,-0.27540113483070466,0.9177964375717015,0.06884237130361381
ad,0.2931217767664703,0.29327562565105425,0.3137499669866653,1.0,-0.23338560103231099,0.07446852905264854,0.35640278367040623,-0.20903323429104265,0.2927154753046994,-0.13942255888652444
fc_ad,-0.4670188880934655,-0.43436575741119215,-0.3199769558274382,-0.23338560103231099,1.0,-0.2131113383132308,-0.10371685262371963,-0.5932024957949509,-0.3792578067160081,-0.2025426843600347
fc,-0.1862307042835959,-0.216719589174719,-0.2604604944083695,0.07446852905264854,-0.2131113383132308,1.0,0.3899492053301551,0.3219043654119407,-0.16418884595286118,-0.23208020808743424
bar,-0.2975557534163961,-0.331784290697563,-0.2879594787998892,0.35640278367040623,-0.10371685262371963,0.3899492053301551,1.0,0.23564826169988423,-0.26912585084267543,-0.07600589328900774
fu,-0.12851979083259044,-0.17956145017356076,-0.27540113483070466,-0.20903323429104265,-0.5932024957949509,0.3219043654119407,0.23564826169988423,1.0,-0.18869017819886744,0.16208691448758206
Nu,0.9521473930664068,0.9592328659525384,0.9177964375717015,0.2927154753046994,-0.3792578067160081,-0.16418884595286118,-0.26912585084267543,-0.18869017819886744,1.0,0.06411105028681918
FM,0.10720818435707163,0.09731530717949322,0.06884237130361381,-0.13942255888652444,-0.2025426843600347,-0.23208020808743424,-0.07600589328900774,0.16208691448758206,0.06411105028681918,1.0
