d,d_hole,hef,ad,fc_ad,fc,bar,fu,Nu,FM
36.0,56.0,288.0,1,54.0,25.0,0,490.0,242.0,2
36.0,56.0,288.0,1,54.0,25.0,0,490.0,242.0,0
36.0,56.0,288.0,1,54.0,25.0,0,490.0,273.0,0
36.0,56.0,288.0,1,54.0,25.0,1,490.0,467.0,2
36.0,56.0,288.0,1,54.0,25.0,1,490.0,467.0,0
36.0,56.0,288.0,1,54.0,25.0,1,490.0,424.0,2
36.0,56.0,432.0,1,54.0,25.0,0,490.0,300.0,0
36.0,56.0,432.0,1,54.0,25.0,0,490.0,324.0,0
36.0,56.0,432.0,1,54.0,25.0,0,490.0,318.0,0
36.0,56.0,432.0,1,54.0,25.0,1,490.0,400.0,2
36.0,56.0,432.0,1,54.0,25.0,1,490.0,570.0,3
36.0,56.0,432.0,1,54.0,25.0,1,490.0,565.0,2
48.0,58.0,384.0,1,54.0,25.0,0,490.0,322.0,2
48.0,58.0,384.0,1,54.0,25.0,1,490.0,716.0,3
48.0,58.0,384.0,1,54.0,25.0,1,490.0,716.0,2
48.0,58.0,576.0,1,54.0,25.0,0,490.0,315.0,2
48.0,58.0,576.0,1,54.0,25.0,0,490.0,315.0,3
48.0,58.0,576.0,1,54.0,25.0,0,490.0,315.0,2
48.0,58.0,576.0,1,54.0,25.0,1,490.0,800.0,3
48.0,58.0,576.0,1,54.0,25.0,1,490.0,550.0,3
48.0,58.0,576.0,1,54.0,25.0,1,490.0,585.0,2
90.0,130.0,720.0,1,54.0,25.0,0,490.0,1080.0,0
90.0,130.0,720.0,1,54.0,25.0,0,490.0,1060.0,3
90.0,130.0,720.0,1,54.0,25.0,0,490.0,900.0,2
90.0,130.0,720.0,1,54.0,25.0,1,490.0,1800.0,2
90.0,130.0,720.0,1,54.0,25.0,1,490.0,1800.0,3
90.0,130.0,720.0,1,54.0,25.0,1,490.0,2000.0,3
90.0,130.0,1080.0,1,54.0,25.0,0,490.0,1400.0,0
90.0,130.0,1080.0,1,54.0,25.0,0,490.0,900.0,2
90.0,130.0,1080.0,1,54.0,25.0,0,490.0,1400.0,2
90.0,130.0,1080.0,1,54.0,25.0,1,490.0,2000.0,3
90.0,130.0,1080.0,1,54.0,25.0,1,490.0,2250.0,3
90.0,130.0,1080.0,1,54.0,25.0,1,490.0,2000.0,2
150.0,210.0,1200.0,1,54.0,25.0,0,490.0,2400.0,2
150.0,210.0,1200.0,1,54.0,25.0,0,490.0,2400.0,2
150.0,210.0,1200.0,1,54.0,25.0,0,490.0,2220.0,2
150.0,210.0,1800.0,1,54.0,25.0,0,490.0,2720.0,2
150.0,210.0,1800.0,1,54.0,25.0,0,490.0,3000.0,2
12.0,14.0,75.0,0,76.34800000000001,19.5,1,500.0,46.3,3
12.0,14.0,50.0,0,76.34800000000001,96.2,1,500.0,35.23,1
12.0,14.0,75.0,0,76.34800000000001,96.2,1,500.0,63.39,1
12.0,14.0,110.0,0,76.34800000000001,96.2,1,500.0,61.88,0
12.0,14.0,50.0,0,76.34800000000001,98.3,1,500.0,43.19,1
12.0,14.0,75.0,0,76.34800000000001,98.3,1,500.0,62.89,0
12.0,14.0,110.0,0,76.34800000000001,98.3,1,500.0,54.22,0
12.0,14.0,50.0,0,76.34800000000001,100.5,1,500.0,44.59,1
12.0,14.0,75.0,0,76.34800000000001,100.5,1,500.0,60.44,1
