iter	RMSE
0	1.123907739
1	1.095491106
2	1.06932906
3	1.044899868
4	1.022130795
5	0.9978191847
6	0.9738302696
7	0.9503741137
8	0.9283218852
9	0.9081773537
10	0.8886522355
11	0.8707715312
12	0.8591722027
13	0.8389049213
14	0.8204280341
15	0.8038988575
16	0.7863506348
17	0.7687513847
18	0.7522728911
19	0.7367793744
20	0.7224683936
21	0.708380224
22	0.6951957054
23	0.6826391638
24	0.6687677712
25	0.6566950293
26	0.6439255984
27	0.6344542856
28	0.6218151786
29	0.6103713916
30	0.5985202659
31	0.5887717232
32	0.5776157671
33	0.5690457346
34	0.5598748614
35	0.5503475867
36	0.5421511537
37	0.5336679135
38	0.5251767884
39	0.5171075153
40	0.5094775561
41	0.5021243624
42	0.4939593069
43	0.4867588763
44	0.4798432153
45	0.4735259294
46	0.4689408995
47	0.4620034776
48	0.4564760175
49	0.4498282178
50	0.4434452664
51	0.4372905342
52	0.4313013678
53	0.426312047
54	0.4211337379
55	0.4152537734
56	0.4097041052
57	0.4051476059
58	0.4010910894
59	0.3965258579
60	0.3922409313
61	0.3880659308
62	0.3839473619
63	0.3807680187
64	0.3771704151
65	0.3736492998
66	0.3702220842
67	0.3664175134
68	0.3635990534
69	0.3607607917
70	0.3578768463
71	0.3553337706
72	0.3531317011
73	0.3500326843
74	0.3464889856
75	0.3438000393
76	0.3410983734
77	0.3389961761
78	0.3365900484
79	0.3342498685
80	0.3319916323
81	0.3297867728
82	0.3272164026
83	0.325324008
84	0.3235886314
85	0.3217492257
86	0.3198933105
87	0.3179723433
88	0.3158551888
89	0.3144958
90	0.3127177711
91	0.3110576117
92	0.309299219
93	0.307592336
94	0.3062439511
95	0.3049600833
96	0.3032522851
97	0.3016404408
98	0.3007791486
99	0.2999728965
100	0.2984519777
101	0.2973451239
102	0.2961450399
103	0.2950892612
104	0.29418884
105	0.2928759548
106	0.2914223653
107	0.2904288257
108	0.2894540727
109	0.2879966387
110	0.2868644931
111	0.2860681973
