iter	Passed	Remaining
0	0	475
1	1	594
2	1	556
3	2	502
4	2	486
5	2	474
6	3	465
7	3	459
8	4	449
9	4	439
10	4	426
11	5	419
12	5	397
13	5	397
14	6	395
15	6	380
16	6	384
17	7	382
18	7	380
19	7	377
20	8	375
21	8	372
22	8	371
23	9	367
24	9	366
25	9	366
26	10	366
27	10	364
28	10	365
29	11	366
30	11	366
31	12	367
32	12	366
33	12	366
34	13	366
35	13	367
36	14	367
37	14	367
38	14	368
39	15	366
40	15	366
41	16	366
42	16	373
43	17	373
44	17	373
45	18	374
46	18	373
47	18	374
48	19	374
49	19	374
50	20	373
51	20	373
52	20	373
53	21	373
54	21	373
55	22	372
56	22	372
57	22	372
58	23	372
59	23	372
60	24	372
61	24	370
62	24	370
63	25	369
64	25	368
65	25	367
66	26	367
67	26	365
68	27	365
69	27	364
70	27	363
71	28	362
72	28	361
73	28	359
74	29	359
75	29	358
76	29	358
77	30	357
78	30	356
79	30	355
80	31	355
81	31	354
82	32	354
83	32	352
84	32	352
85	33	351
86	33	351
87	33	350
88	34	350
89	34	349
90	34	349
91	35	348
92	35	347
93	36	347
94	36	346
95	36	345
96	37	345
97	37	344
98	37	344
99	38	343
100	38	343
101	38	342
102	39	341
103	39	340
104	39	339
105	40	338
106	40	337
107	40	337
108	41	337
109	41	336
110	41	336
111	42	335
112	42	335
113	43	334
114	43	334
115	43	334
116	44	333
117	44	333
118	44	332
119	45	332
120	45	331
121	46	331
122	46	330
123	46	330
124	47	329
125	47	329
126	47	328
127	48	328
128	48	327
129	48	326
130	49	326
131	49	325
132	49	325
133	50	324
134	50	324
135	50	323
136	51	323
137	51	322
138	52	322
139	52	322
140	52	321
141	53	320
142	53	320
143	53	319
144	54	319
145	54	319
146	54	319
147	55	318
148	55	318
149	56	317
150	56	317
151	56	316
152	57	316
153	57	315
154	57	315
155	58	315
156	58	314
157	58	314
158	59	313
159	59	313
160	60	313
161	60	312
162	60	312
163	61	311
164	61	311
165	61	311
166	62	311
167	62	311
168	63	310
169	63	310
170	63	309
171	64	309
172	64	309
173	65	308
174	65	308
175	66	309
176	66	308
177	66	307
178	67	307
179	67	307
180	67	306
181	68	306
182	68	306
183	68	305
184	69	305
185	69	304
186	69	304
187	70	303
188	70	303
189	71	302
190	71	302
191	71	302
192	72	301
193	72	301
194	72	300
195	73	300
196	73	300
197	73	299
198	74	299
199	74	298
200	75	298
201	75	297
202	75	297
203	76	297
204	76	296
205	76	296
206	77	295
207	77	295
208	77	294
209	78	294
210	78	294
211	79	293
212	79	293
213	79	293
214	80	292
215	80	292
216	80	291
217	81	291
218	81	290
219	81	290
220	82	289
221	82	289
222	82	289
223	83	288
224	83	288
225	84	288
226	84	287
227	84	287
228	85	287
229	85	287
230	86	288
231	87	289
232	88	290
233	88	290
234	89	291
235	90	292
236	90	292
237	91	293
238	92	293
239	92	294
240	93	294
241	94	295
242	95	296
243	95	297
244	96	297
245	97	298
246	97	298
247	98	298
248	99	299
249	99	299
250	100	299
251	101	300
252	101	299
253	101	299
254	102	298
255	102	298
256	102	297
257	103	297
258	103	296
259	103	295
260	104	295
261	104	295
262	105	294
263	105	293
264	105	292
265	105	291
266	105	290
267	106	289
268	106	288
269	106	288
270	106	287
271	106	286
272	107	285
273	107	284
274	107	283
275	107	282
276	108	282
277	108	281
278	108	280
279	108	279
280	108	278
281	110	280
282	110	280
283	110	279
284	111	278
285	111	277
286	111	276
287	111	276
288	111	275
289	112	274
290	112	274
291	112	273
292	113	272
293	113	272
294	113	271
295	113	271
296	114	270
297	114	269
298	114	269
299	115	268
300	115	268
301	115	267
302	116	267
303	117	268
304	119	273
305	120	272
306	120	272
307	120	271
308	121	271
309	121	270
310	121	270
311	122	269
312	122	269
313	123	268
314	123	268
315	123	267
316	124	267
317	124	266
318	124	266
319	125	265
320	125	265
321	125	264
322	126	264
323	126	264
324	126	263
325	127	262
326	127	262
327	127	261
328	128	261
329	128	260
330	128	260
331	129	259
332	129	259
333	129	259
334	130	258
335	130	258
336	130	257
337	131	257
338	131	256
339	131	256
340	132	255
341	132	255
342	133	254
343	133	254
344	133	253
345	134	253
346	134	252
347	134	252
348	135	251
349	135	251
350	135	250
351	136	250
352	136	250
353	136	249
354	137	249
355	137	248
356	137	248
357	138	247
358	138	247
359	138	246
360	139	246
361	139	245
362	139	245
363	140	244
364	140	244
365	140	243
366	141	243
367	141	242
368	141	242
369	142	242
370	142	241
371	142	241
372	143	240
373	143	240
374	143	239
375	144	239
376	144	238
377	144	238
378	145	237
379	145	237
380	145	236
381	146	236
382	146	235
383	146	235
384	147	235
385	147	234
386	147	234
387	148	233
388	148	233
389	148	232
390	149	232
391	149	231
392	149	231
393	150	231
394	150	230
395	150	230
396	151	229
397	151	229
398	151	228
399	152	228
400	152	228
401	152	227
402	153	227
403	153	226
404	153	226
405	154	225
406	154	225
407	155	224
408	155	224
409	155	224
410	156	223
411	156	223
412	156	222
413	157	222
414	157	221
415	157	221
416	158	221
417	158	220
418	158	220
419	159	219
420	159	219
421	159	218
422	160	218
423	160	217
424	160	217
425	161	217
426	161	216
427	161	216
428	162	215
429	162	215
430	162	215
431	163	214
432	163	214
433	163	213
434	164	213
435	164	212
436	164	212
437	165	212
438	165	211
439	165	211
440	166	210
441	166	210
442	166	209
443	167	209
444	167	209
445	167	208
446	168	208
447	168	207
448	168	207
449	169	207
450	169	206
451	170	206
452	171	206
453	171	206
454	172	206
455	173	206
456	173	206
457	174	206
458	174	205
459	175	205
460	175	205
461	175	204
462	176	204
463	176	204
464	177	203
465	177	203
466	177	202
467	178	202
468	178	202
469	178	201
470	179	201
471	179	200
472	179	200
473	180	200
474	180	199
475	180	199
476	181	198
477	181	198
478	182	198
479	182	197
480	182	197
481	183	196
482	183	196
483	183	196
484	184	195
485	184	195
486	184	194
487	185	194
488	185	193
489	185	193
490	186	193
491	186	192
492	187	192
493	187	192
494	189	193
495	190	193
496	190	192
497	190	192
498	190	191
499	191	191
500	191	190
501	191	190
502	192	189
503	192	189
504	192	188
505	193	188
506	193	187
507	193	187
508	193	187
509	194	186
510	194	186
511	194	185
512	195	185
513	196	185
514	196	185
515	196	184
516	197	184
517	197	183
518	197	183
519	198	182
520	198	182
521	198	182
522	199	181
523	199	181
524	199	180
525	200	180
526	200	180
527	201	179
528	201	179
529	201	178
530	202	178
531	202	178
532	202	177
533	203	177
534	203	176
535	203	176
536	204	176
537	205	176
538	205	176
539	206	175
540	206	175
541	206	174
542	207	174
543	207	174
544	208	173
545	208	173
546	208	172
547	209	172
548	209	172
549	209	171
550	210	171
551	210	170
552	210	170
553	210	169
554	211	169
555	211	168
556	211	168
557	212	168
558	212	167
559	213	167
560	213	166
561	213	166
562	214	166
563	214	165
564	214	165
565	215	164
566	215	164
567	215	164
568	216	163
569	216	163
570	216	163
571	217	162
572	217	162
573	218	161
574	218	161
575	218	161
576	219	160
577	219	160
578	219	159
579	220	159
580	220	159
581	220	158
582	221	158
583	221	157
584	222	157
585	222	157
586	222	156
587	223	156
588	223	155
589	223	155
590	224	155
591	224	154
592	224	154
593	225	153
594	225	153
595	225	153
596	226	152
597	226	152
598	227	152
599	227	151
600	227	151
601	228	150
602	228	150
603	228	149
604	229	149
605	229	149
606	229	148
607	230	148
608	230	148
609	230	147
610	231	147
611	231	146
612	232	146
613	232	146
614	232	145
615	233	145
616	233	144
617	233	144
618	234	144
619	234	143
620	234	143
621	235	142
622	235	142
623	235	142
624	236	141
625	236	141
626	236	140
627	237	140
628	237	140
629	237	139
630	238	139
631	238	138
632	239	138
633	239	138
634	239	137
635	240	137
636	240	137
637	240	136
638	241	136
639	241	135
640	241	135
641	242	135
642	242	134
643	242	134
644	243	133
645	243	133
646	244	133
647	244	132
648	244	132
649	245	131
650	245	131
651	245	131
652	246	130
653	246	130
654	246	130
655	247	129
656	247	129
657	247	128
658	248	128
659	248	128
660	248	127
661	249	127
662	249	126
663	249	126
664	250	126
665	250	125
666	251	125
667	251	124
668	251	124
669	252	124
670	252	123
671	252	123
672	253	122
673	253	122
674	253	122
675	254	121
676	254	121
677	254	121
678	255	120
679	255	120
680	255	119
681	256	119
682	256	119
683	257	118
684	257	118
685	257	117
686	258	117
687	258	117
688	258	116
689	259	116
690	259	116
691	259	115
692	260	115
693	260	114
694	260	114
695	261	114
696	261	113
697	262	113
698	262	112
699	262	112
700	263	112
701	263	111
702	263	111
703	264	111
704	264	110
705	264	110
706	265	109
707	265	109
708	265	109
709	266	108
710	266	108
711	268	108
712	269	108
713	269	107
714	269	107
715	270	107
716	270	106
717	270	106
718	271	106
719	271	105
720	271	105
721	272	104
722	272	104
723	272	104
724	273	103
725	273	103
726	274	102
727	274	102
728	274	102
729	275	101
730	275	101
731	275	100
732	276	100
733	276	100
734	276	99
735	277	99
736	277	98
737	277	98
738	277	98
739	278	97
740	278	97
741	278	96
742	278	96
743	279	96
744	280	95
745	282	96
746	283	95
747	283	95
748	284	95
749	284	94
750	285	94
751	285	94
752	287	94
753	287	93
754	288	93
755	288	93
756	289	92
757	290	92
758	293	93
759	293	92
760	294	92
761	295	92
762	296	91
763	296	91
764	297	91
765	298	91
766	298	90
767	299	90
768	300	90
769	300	89
770	301	89
771	301	89
772	302	88
773	302	88
774	303	88
775	303	87
776	304	87
777	305	87
778	305	86
779	306	86
780	306	86
781	307	85
782	307	85
783	308	84
784	308	84
785	309	84
786	309	83
787	310	83
788	310	83
789	313	83
790	314	83
791	315	82
792	315	82
793	316	82
794	316	81
795	317	81
796	318	81
797	318	80
798	319	80
799	319	79
800	320	79
801	320	79
802	321	78
803	321	78
804	322	78
805	322	77
806	322	77
807	323	76
808	323	76
809	324	76
810	324	75
811	325	75
812	325	74
813	326	74
814	326	74
815	327	73
816	327	73
817	328	73
818	328	72
819	329	72
820	329	71
821	330	71
822	330	71
823	330	70
824	331	70
825	331	69
826	332	69
827	332	69
828	333	68
829	333	68
830	334	68
831	335	67
832	335	67
833	336	66
834	337	66
835	337	66
836	338	65
837	338	65
838	339	65
839	339	64
840	340	64
841	340	63
842	341	63
843	341	63
844	342	62
845	342	62
846	343	61
847	343	61
848	344	61
849	344	60
850	345	60
851	345	60
852	346	59
853	346	59
854	347	58
855	347	58
856	348	58
857	348	57
858	348	57
859	349	56
860	350	56
861	350	56
862	351	55
863	351	55
864	352	54
865	352	54
866	353	54
867	353	53
868	353	53
869	354	52
