source,code,d,d_hole,hef,ad,fc_ad,fc,bar,fu,Nu,FM
Wang et al - 2 15,F-P-36-8d-1,36,56,288,1,54,25,0,490,242,2
Wang et al - 2015,F-P-36-8d-2,36,56,288,1,54,25,0,490,242,0
Wang et al - 2015,F-P-36-8d-3,36,56,288,1,54,25,0,490,273,0
Wang et al - 2015,F-G-36-8d-1,36,56,288,1,54,25,1,490,467,2
Wang et al - 2015,F-G-36-8d-2,36,56,288,1,54,25,1,490,467,0
Wang et al - 2015,F-G-36-8d-3,36,56,288,1,54,25,1,490,424,2
Wang et al - 2015,F-P-36-12d-1,36,56,432,1,54,25,0,490,300,0
Wang et al - 2015,F-P-36-12d-2,36,56,432,1,54,25,0,490,324,0
Wang et al - 2015,F-P-36-12d-3,36,56,432,1,54,25,0,490,318,0
Wang et al - 2015,F-G-36-12d-1,36,56,432,1,54,25,1,490,400,2
Wang et al - 2015,F-G-36-12d-2,36,56,432,1,54,25,1,490,570,3
Wang et al - 2015,F-G-36-12d-3,36,56,432,1,54,25,1,490,565,2
Wang et al - 2015,F-P-48-8d-1,48,58,384,1,54,25,0,490,322,2
Wang et al - 2015,F-G-48-8d-1,48,58,384,1,54,25,1,490,716,3
Wang et al - 2015,F-G-48-8d-2,48,58,384,1,54,25,1,490,716,2
Wang et al - 2015,F-P-48-12d-1,48,58,576,1,54,25,0,490,315,2
Wang et al - 2015,F-P-48-12d-2,48,58,576,1,54,25,0,490,315,3
Wang et al - 2015,F-P-48-12d-3,48,58,576,1,54,25,0,490,315,2
Wang et al - 2015,F-G-48-12d-1,48,58,576,1,54,25,1,490,800,3
Wang et al - 2015,F-G-48-12d-2,48,58,576,1,54,25,1,490,550,3
Wang et al - 2015,F-G-48-12d-3,48,58,576,1,54,25,1,490,585,2
Wang et al - 2015,F-P-90-8d-1,90,130,720,1,54,25,0,490,1080,0
Wang et al - 2015,F-P-90-8d-2,90,130,720,1,54,25,0,490,1060,3
Wang et al - 2015,F-P-90-8d-3,90,130,720,1,54,25,0,490,900,2
Wang et al - 2015,F-G-90-8d-1,90,130,720,1,54,25,1,490,1800,2
Wang et al - 2015,F-G-90-8d-2,90,130,720,1,54,25,1,490,1800,3
Wang et al - 2015,F-G-90-8d-3,90,130,720,1,54,25,1,490,2000,3
Wang et al - 2015,F-P-90-12d-1,90,130,1080,1,54,25,0,490,1400,0
Wang et al - 2015,F-P-90-12d-2,90,130,1080,1,54,25,0,490,900,2
Wang et al - 2015,F-P-90-12d-3,90,130,1080,1,54,25,0,490,1400,2
Wang et al - 2015,F-G-90-12d-1,90,130,1080,1,54,25,1,490,2000,3
Wang et al - 2015,F-G-90-12d-2,90,130,1080,1,54,25,1,490,2250,3
Wang et al - 2015,F-G-90-12d-3,90,130,1080,1,54,25,1,490,2000,2
Wang et al - 2015,F-P-150-8d-1,150,210,1200,1,54,25,0,490,2400,2
Wang et al - 2015,F-P-150-8d-2,150,210,1200,1,54,25,0,490,2400,2
Wang et al - 2015,F-P-150-8d-3,150,210,1200,1,54,25,0,490,2220,2
Wang et al - 2015,F-P-150-12d-1,150,210,1800,1,54,25,0,490,2720,2
Wang et al - 2015,F-P-150-12d-3,150,210,1800,1,54,25,0,490,3000,2
Cattaneo - 2016,N-BD-25-75,12,14,75,0,,19.5,1,500,46.3,3
Cattaneo - 2016,N-BD-75-50,12,14,50,0,,96.2,1,500,35.23,1
Cattaneo - 2016,N-BD-75-75,12,14,75,0,,96.2,1,500,63.39,1
Cattaneo - 2016,N-BD-75-110,12,14,110,0,,96.2,1,500,61.88,0
Cattaneo - 2016,N-BD-75F-50,12,14,50,0,,98.3,1,500,43.19,1
Cattaneo - 2016,N-BD-75F-75,12,14,75,0,,98.3,1,500,62.89,0
Cattaneo - 2016,N-BD-75F-110,12,14,110,0,,98.3,1,500,54.22,0
Cattaneo - 2016,N-BD-90-50,12,14,50,0,,100.5,1,500,44.59,1
Cattaneo - 2016,N-BD-90-75,12,14,75,0,,100.5,1,500,60.44,1
Cattaneo - 2016,N-BD-90-110,12,14,110,0,,100.5,1,500,60.12,0
Cattaneo - 2016,N-BD-90F-50,12,14,50,0,,119.5,1,500,50.67,1
Cattaneo - 2016,N-BD-90F-75,12,14,75,0,,119.5,1,500,60.77,0
Cattaneo - 2016,N-BD-90F-110,12,14,110,0,,119.5,1,500,64.68,0
Ozbakkaloglu - 2009,HD12.7L25T1,12.7,12.7,24,0,55.2,53,2,3800,8.2,1
Ozbakkaloglu - 2009,HD12.7L25T2,12.7,12.7,26,0,55.2,54,2,3800,9.3,1
Ozbakkaloglu - 2009,HD12.7L25T3,12.7,12.7,27,0,55.2,56,2,3800,10.2,1
Ozbakkaloglu - 2009,HD12.7L25T4,12.7,12.7,18,0,55.2,50,2,3800,5.8,1
Ozbakkaloglu - 2009,HD15.9L25T1,15.9,15.9,26,0,55.2,57,2,3800,10.5,1
Ozbakkaloglu - 2009,HD15.9L25T2,15.9,15.9,26,0,55.2,57,2,3800,10.7,1
Ozbakkaloglu - 2009,HD15.9L25T3,15.9,15.9,28,0,55.2,60,2,3800,12.1,1
Ozbakkaloglu - 2009,HD19.1L25T1,19.1,19.1,24,0,55.2,57,2,3800,10.4,1
Ozbakkaloglu - 2009,HD19.1L25T2,19.1,19.1,22,0,55.2,60,2,3800,9.5,1
Ozbakkaloglu - 2009,HD19.1L25T3,19.1,19.1,28,0,55.2,60,2,3800,13.2,1
Ozbakkaloglu - 2009,ND15.9L25T1,15.9,15.9,24,0,55.2,27,2,3800,8.4,1
Ozbakkaloglu - 2009,ND15.9L25T2,15.9,15.9,26,0,55.2,27,2,3800,9.3,1
Ozbakkaloglu - 2009,ND15.9L25T3,15.9,15.9,24,0,55.2,27,2,3800,9,1
Ozbakkaloglu - 2009,HD12.7L50T1,12.7,12.7,47,0,55.2,56,2,3800,11,3
Ozbakkaloglu - 2009,HD12.7L50T2,12.7,12.7,51,0,55.2,54,2,3800,11.8,3
Ozbakkaloglu - 2009,HD12.7L50T3,12.7,12.7,46,0,55.2,55,2,3800,11.7,3
Ozbakkaloglu - 2009,HD12.7L50T4,12.7,12.7,51,0,55.2,55,2,3800,12.3,3
Ozbakkaloglu - 2009,HD15.9L50T1,15.9,15.9,50,0,55.2,53,2,3800,10.4,3
Ozbakkaloglu - 2009,HD15.9L50T2,15.9,15.9,50,0,55.2,48,2,3800,10.7,3
Ozbakkaloglu - 2009,HD15.9L50T3,15.9,15.9,49,0,55.2,49,2,3800,10.6,3
Ozbakkaloglu - 2009,HD15.9L50T4,15.9,15.9,48,0,55.2,49,2,3800,10.6,3
Ozbakkaloglu - 2009,HD15.9L50T5,15.9,15.9,56,0,55.2,53,2,3800,11.2,3
Ozbakkaloglu - 2009,HD15.9L50T6,15.9,15.9,51,0,55.2,48,2,3800,11.2,3
Ozbakkaloglu - 2009,HD19.1L50T1,19.1,19.1,59,0,55.2,52,2,3800,11.1,3
Ozbakkaloglu - 2009,HD19.1L50T2,19.1,19.1,50,0,55.2,57,2,3800,10,3
Ozbakkaloglu - 2009,HD19.1L50T3,19.1,19.1,49,0,55.2,57,2,3800,9.5,3
Ozbakkaloglu - 2009,ND12.7L50T1,12.7,12.7,48,0,55.2,27,2,3800,11.2,3
Ozbakkaloglu - 2009,ND12.7L50T2,12.7,12.7,49,0,55.2,27,2,3800,11.3,3
Ozbakkaloglu - 2009,ND12.7L50T3,12.7,12.7,53,0,55.2,27,2,3800,11.6,3
